Year,RK,Team,League,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT▼,DER
2018,1,Houston Astros,AL,162,1458,13095.0,5797,4365,1369,63,116,60,25,0.706,15,67,0.989,0.707
,2,Washington Nationals,NL,162,1458,13014.0,5765,4338,1363,64,115,75,43,0.636,10,42,0.989,0.703
,3,Arizona Diamondbacks,NL,162,1458,13167.0,6150,4389,1686,75,152,66,27,0.710,6,69,0.988,0.699
,4,Colorado Rockies,NL,163,1467,13071.0,6055,4357,1624,74,162,92,25,0.786,11,70,0.988,0.690
,5,Los Angeles Angels,AL,162,1458,12936.0,5890,4312,1502,76,173,46,33,0.582,18,87,0.987,0.694
,6,Kansas City Royals,AL,162,1458,12888.0,5902,4296,1529,77,142,60,33,0.645,10,68,0.987,0.680
,7,Boston Red Sox,AL,162,1458,13128.0,5819,4376,1366,77,106,64,30,0.681,25,51,0.987,0.694
,8,Atlanta Braves,NL,162,1458,13110.0,5889,4370,1439,80,134,102,28,0.785,13,61,0.986,0.710
,9,Miami Marlins,NL,161,1449,12978.0,5857,4326,1448,83,133,60,42,0.588,10,47,0.986,0.699
,10,Cleveland Indians,AL,162,1458,13116.0,5808,4372,1353,83,123,81,29,0.736,9,54,0.986,0.689
,11,Tampa Bay Rays,AL,162,1458,13035.0,5913,4345,1483,85,136,78,27,0.743,17,55,0.986,0.709
,12,Oakland Athletics,AL,162,1458,13191.0,6080,4397,1594,89,125,98,46,0.681,17,86,0.985,0.717
,13,Seattle Mariners,AL,162,1458,13038.0,5920,4346,1486,88,153,66,26,0.717,13,57,0.985,0.691
,14,New York Mets,NL,162,1458,13146.0,5876,4382,1406,88,121,134,36,0.788,9,26,0.985,0.691
,15,Cincinnati Reds,NL,162,1458,12969.0,6026,4323,1608,95,144,83,24,0.776,6,48,0.984,0.685
,16,San Francisco Giants,NL,162,1458,13152.0,6086,4384,1605,97,160,93,31,0.750,9,44,0.984,0.691
,17,New York Yankees,AL,162,1458,13107.0,5807,4369,1344,94,95,88,31,0.739,25,73,0.984,0.687
,18,Detroit Tigers,AL,162,1458,12828.0,5799,4276,1428,95,126,79,37,0.681,8,54,0.984,0.695
,19,Minnesota Twins,AL,162,1458,12990.0,5881,4330,1454,97,127,85,29,0.746,12,59,0.984,0.685
,20,San Diego Padres,NL,162,1458,13113.0,6010,4371,1539,100,127,88,30,0.746,12,52,0.983,0.683
,21,Chicago Cubs,NL,163,1467,13287.0,6208,4429,1675,104,155,84,40,0.677,12,46,0.983,0.702
,22,Los Angeles Dodgers,NL,163,1467,13284.0,5963,4428,1435,100,111,70,25,0.737,10,39,0.983,0.699
,23,Toronto Blue Jays,AL,162,1458,12903.0,5849,4301,1447,101,138,136,39,0.777,8,71,0.983,0.679
,24,Baltimore Orioles,AL,162,1458,12879.0,5934,4293,1537,104,159,89,42,0.679,9,81,0.982,0.675
,25,Pittsburgh Pirates,NL,161,1449,12906.0,5885,4302,1478,105,129,72,36,0.667,8,95,0.982,0.687
,26,Milwaukee Brewers,NL,163,1467,13149.0,5944,4383,1453,108,141,69,39,0.639,10,50,0.982,0.706
,27,Chicago White Sox,AL,162,1458,12933.0,5856,4311,1431,114,134,133,39,0.773,20,94,0.981,0.692
,28,Texas Rangers,AL,162,1458,12879.0,5971,4293,1558,120,168,76,18,0.809,13,57,0.980,0.683
,29,Philadelphia Phillies,NL,162,1458,13011.0,5938,4337,1478,123,138,100,35,0.741,18,81,0.979,0.680
,30,St. Louis Cardinals,NL,162,1458,13098.0,6039,4366,1540,133,151,47,13,0.783,7,63,0.978,0.688
2017,1,Miami Marlins,NL,162,1458,12984.0,5955,4328,1554,73,156,67,30,0.691,12,57,0.988,0.693
,2,Colorado Rockies,NL,162,1458,12939.0,6120,4313,1730,77,168,67,27,0.713,18,69,0.987,0.685
,3,Cleveland Indians,AL,162,1458,12966.0,5845,4322,1447,76,167,50,37,0.575,9,48,0.987,0.684
,4,Minnesota Twins,AL,162,1458,12924.0,5863,4308,1477,78,143,75,29,0.721,16,52,0.987,0.693
,5,Kansas City Royals,AL,162,1458,12939.0,5917,4313,1525,79,145,87,30,0.744,11,48,0.987,0.685
,6,Cincinnati Reds,NL,162,1458,12870.0,5994,4290,1623,81,132,79,42,0.653,9,62,0.986,0.691
,7,Los Angeles Angels,AL,162,1458,12966.0,5864,4322,1462,80,135,71,43,0.623,10,57,0.986,0.701
,8,Philadelphia Phillies,NL,162,1458,12969.0,5902,4323,1497,82,145,91,30,0.752,17,50,0.986,0.687
,9,San Francisco Giants,NL,162,1458,13068.0,5965,4356,1522,87,127,73,37,0.664,6,55,0.985,0.680
