Year,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG▼,OBP,SLG,OPS
2018,1,Boston Red Sox,AL,162,5623,876,1509,355,31,208,829,569,1253,125,31,0.268,0.339,0.453,0.792
,2,Cleveland Indians,AL,162,5595,818,1447,297,19,216,786,554,1189,135,36,0.259,0.332,0.434,0.766
,3,Tampa Bay Rays,AL,162,5475,716,1415,274,43,150,664,540,1388,128,51,0.258,0.333,0.406,0.740
,4,Chicago Cubs,NL,163,5624,761,1453,286,34,167,722,576,1388,66,38,0.258,0.333,0.410,0.744
,5,Atlanta Braves,NL,162,5582,759,1433,314,29,175,717,511,1290,90,36,0.257,0.324,0.417,0.742
,6,Colorado Rockies,NL,163,5541,780,1418,280,42,210,748,507,1397,95,33,0.256,0.322,0.435,0.757
,7,Houston Astros,AL,162,5453,797,1390,278,18,205,763,565,1197,71,26,0.255,0.329,0.425,0.754
,8,Seattle Mariners,AL,162,5513,677,1402,256,32,176,644,430,1221,79,37,0.254,0.314,0.408,0.722
,9,Washington Nationals,NL,162,5517,771,1402,284,25,191,737,631,1289,119,33,0.254,0.335,0.419,0.753
,10,Cincinnati Reds,NL,162,5532,696,1404,251,25,172,665,559,1376,77,33,0.254,0.328,0.401,0.729
,11,Pittsburgh Pirates,NL,161,5447,692,1381,290,38,157,665,474,1229,70,38,0.254,0.317,0.407,0.725
,12,Milwaukee Brewers,NL,163,5542,754,1398,252,24,218,711,537,1458,124,32,0.252,0.323,0.424,0.747
,13,Oakland Athletics,AL,162,5579,813,1407,322,20,227,778,550,1381,35,21,0.252,0.325,0.439,0.764
,14,Los Angeles Dodgers,NL,163,5572,804,1394,296,33,235,756,647,1436,75,24,0.250,0.333,0.442,0.774
,15,Minnesota Twins,AL,162,5526,738,1379,317,22,166,704,534,1328,47,27,0.250,0.318,0.405,0.723
,16,New York Yankees,AL,162,5515,851,1374,269,23,267,821,625,1421,63,21,0.249,0.329,0.451,0.781
,17,St. Louis Cardinals,NL,162,5498,759,1369,248,9,205,725,525,1380,63,32,0.249,0.321,0.409,0.730
,18,Kansas City Royals,AL,162,5505,638,1350,283,29,155,606,427,1310,117,38,0.245,0.305,0.392,0.697
,19,Toronto Blue Jays,AL,162,5477,709,1336,320,16,217,680,499,1387,47,30,0.244,0.312,0.427,0.739
,20,Los Angeles Angels,AL,162,5472,721,1323,249,23,214,690,514,1300,89,22,0.242,0.313,0.413,0.726
,21,Detroit Tigers,AL,162,5494,630,1326,284,35,135,597,428,1341,70,30,0.241,0.300,0.380,0.680
,22,Chicago White Sox,AL,162,5523,656,1332,259,40,182,639,425,1594,98,41,0.241,0.302,0.401,0.703
,23,Texas Rangers,AL,162,5453,737,1308,266,24,194,696,555,1484,74,35,0.240,0.318,0.404,0.722
,24,Baltimore Orioles,AL,162,5507,622,1317,242,15,188,593,422,1412,81,22,0.239,0.298,0.391,0.689
,25,San Francisco Giants,NL,162,5541,603,1324,255,30,133,573,448,1467,77,34,0.239,0.300,0.368,0.667
,26,Miami Marlins,NL,161,5488,589,1303,222,24,128,554,455,1384,45,31,0.237,0.303,0.357,0.659
,27,Arizona Diamondbacks,NL,162,5460,693,1283,259,50,176,658,560,1460,79,25,0.235,0.310,0.397,0.707
,28,San Diego Padres,NL,162,5486,617,1289,250,30,162,583,471,1523,95,36,0.235,0.297,0.380,0.677
,29,New York Mets,NL,162,5468,676,1282,265,34,170,649,566,1404,71,39,0.234,0.312,0.389,0.701
,30,Philadelphia Phillies,NL,162,5424,677,1270,241,30,186,653,582,1520,69,26,0.234,0.314,0.393,0.707
2017,1,Houston Astros,AL,162,5611,896,1581,346,20,238,854,509,1087,98,42,0.282,0.346,0.478,0.823
,2,Colorado Rockies,NL,162,5534,824,1510,293,38,192,793,519,1408,59,34,0.273,0.338,0.444,0.781
,3,Miami Marlins,NL,162,5602,778,1497,271,31,194,743,486,1282,91,30,0.267,0.331,0.431,0.761
,4,Washington Nationals,NL,162,5553,819,1477,311,31,215,796,542,1327,108,30,0.266,0.332,0.449,0.782
,5,Cleveland Indians,AL,162,5511,818,1449,333,29,212,780,604,1153,88,23,0.263,0.339,0.449,0.788
,6,Atlanta Braves,NL,162,5584,732,1467,289,26,165,706,474,1184,77,31,0.263,0.326,0.412,0.738
,7,New York Yankees,AL,162,5594,858,1463,266,23,241,821,616,1386,90,22,0.262,0.339,0.447,0.785
,8,Baltimore Orioles,AL,162,5650,743,1469,269,12,232,713,392,1412,32,13,0.260,0.312,0.435,0.747
,9,Minnesota Twins,AL,162,5557,815,1444,286,31,206,781,593,1342,95,28,0.260,0.334,0.434,0.768
,10,Kansas City Royals,AL,162,5536,702,1436,260,24,193,660,390,1166,91,31,0.259,0.311,0.420,0.731
,11,Seattle Mariners,AL,162,5551,750,1436,281,17,200,714,487,1267,89,35,0.259,0.325,0.424,0.749
,12,Detroit Tigers,AL,162,5556,735,1435,289,35,187,699,503,1313,65,34,0.258,0.324,0.424,0.748
,13,Boston Red Sox,AL,162,5669,785,1461,302,19,168,735,571,1224,106,31,0.258,0.329,0.407,0.736
,14,St. Louis Cardinals,NL,162,5470,761,1402,284,28,196,728,593,1348,81,31,0.256,0.334,0.426,0.760
,15,Chicago White Sox,AL,162,5513,706,1412,256,37,186,670,401,1397,71,31,0.256,0.314,0.417,0.731
,16,Chicago Cubs,NL,162,5496,822,1402,274,29,223,785,622,1401,62,31,0.255,0.338,0.437,0.775
,17,Arizona Diamondbacks,NL,162,5525,812,1405,314,39,220,776,578,1456,103,30,0.254,0.329,0.445,0.774
,18,Cincinnati Reds,NL,162,5484,753,1390,249,38,219,715,565,1329,120,39,0.253,0.329,0.433,0.761
,19,New York Mets,NL,162,5510,735,1379,286,28,224,713,529,1291,58,23,0.250,0.320,0.434,0.755
,20,Philadelphia Phillies,NL,162,5535,690,1382,287,36,174,654,494,1417,59,25,0.250,0.315,0.409,0.723
,21,Milwaukee Brewers,NL,162,5467,732,1363,267,22,224,695,547,1571,128,41,0.249,0.322,0.429,0.751
,22,Los Angeles Dodgers,NL,162,5408,770,1347,312,20,221,730,649,1380,77,28,0.249,0.334,0.437,0.771
