Year,RK,Team,League,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG▼,WHIP
2018,1,Baltimore Orioles,AL,47,115,5.18,162,162,28,46,1431.0,1552,892,824,234,589,1203,0.276,1.50
,2,Kansas City Royals,AL,58,104,4.94,162,162,33,57,1432.0,1542,833,786,205,549,1157,0.275,1.46
,3,Texas Rangers,AL,67,95,4.92,162,162,42,56,1431.0,1516,848,783,222,491,1121,0.271,1.40
,4,Cincinnati Reds,NL,67,95,4.63,162,162,38,57,1441.0,1491,819,741,228,532,1258,0.266,1.40
,5,Toronto Blue Jays,AL,73,89,4.85,162,162,39,59,1433.2,1476,832,772,208,551,1298,0.265,1.41
,6,Detroit Tigers,AL,64,98,4.58,162,162,37,61,1425.1,1423,796,726,216,491,1215,0.258,1.34
,7,Minnesota Twins,AL,78,84,4.50,162,162,37,65,1443.1,1425,775,721,198,573,1377,0.256,1.38
,8,San Diego Padres,NL,66,96,4.40,162,162,36,53,1457.0,1430,767,713,185,519,1399,0.256,1.34
,9,Chicago White Sox,AL,62,100,4.83,162,162,34,53,1437.0,1404,848,771,196,653,1259,0.254,1.43
,10,Miami Marlins,NL,63,98,4.76,161,161,30,53,1442.0,1388,809,762,192,605,1249,0.254,1.38
,11,Seattle Mariners,AL,89,73,4.13,162,162,60,81,1448.2,1396,711,664,195,400,1328,0.252,1.24
,12,San Francisco Giants,NL,73,89,3.95,162,162,36,66,1461.1,1387,699,641,156,524,1269,0.251,1.31
,13,Pittsburgh Pirates,NL,82,79,4.00,161,161,40,60,1434.0,1380,693,637,174,497,1336,0.251,1.31
,14,Colorado Rockies,NL,91,72,4.33,163,163,51,78,1452.1,1377,745,699,184,525,1409,0.250,1.31
,15,Philadelphia Phillies,NL,80,82,4.14,162,162,44,64,1445.2,1366,728,665,171,500,1465,0.249,1.29
,16,Los Angeles Angels,AL,80,82,4.15,162,162,35,61,1437.1,1353,722,662,205,546,1386,0.248,1.32
,17,New York Mets,NL,77,85,4.07,162,162,41,59,1460.2,1364,707,661,185,484,1446,0.246,1.27
,18,St. Louis Cardinals,NL,88,74,3.85,162,162,43,64,1455.1,1354,691,622,144,593,1337,0.246,1.34
