,Year,RK_x,Team,League_x,G_x,AB,R_x,H_x,2B,3B,HR_x,RBI,BB_x,SO_x,SB_x,CS_x,AVG▼_x,OBP,SLG,OPS,RK_y,League_y,W,L,ERA,G_y,GS_x,SV,SVO,IP,H_y,R_y,ER,HR_y,BB_y,SO_y,AVG▼_y,WHIP,RK,League,G,GS_y,INN,TC,PO,A,E,DP,SB_y,CS_y,SBPCT,PB,C_WP,FPCT▼,DER,Playoff
0,2018.0,1,Boston Red Sox,AL,162,5623,876,1509,355,31,208,829,569,1253,125,31,0.268,0.33899999999999997,0.45299999999999996,0.792,23,AL,108,54,3.75,162,162,46,66,1458.2,1305,647,608,176,512,1558,0.237,1.25,7,AL,162,1458,13128.0,5819,4376,1366,77,106,64,30,0.6809999999999999,25,51,0.987,0.6940000000000001,1.0
1,2018.0,2,Cleveland Indians,AL,162,5595,818,1447,297,19,216,786,554,1189,135,36,0.259,0.332,0.434,0.7659999999999999,19,AL,91,71,3.77,162,162,41,58,1457.1,1349,648,611,200,407,1544,0.242,1.2,10,AL,162,1458,13116.0,5808,4372,1353,83,123,81,29,0.736,9,54,0.986,0.6890000000000001,1.0
2,2018.0,3,Tampa Bay Rays,AL,162,5475,716,1415,274,43,150,664,540,1388,128,51,0.258,0.33299999999999996,0.406,0.74,28,AL,90,72,3.74,162,162,52,74,1448.1,1236,646,602,164,501,1421,0.23,1.2,11,AL,162,1458,13035.0,5913,4345,1483,85,136,78,27,0.743,17,55,0.986,0.7090000000000001,0.0
3,2018.0,4,Chicago Cubs,NL,163,5624,761,1453,286,34,167,722,576,1388,66,38,0.258,0.33299999999999996,0.41,0.7440000000000001,21,NL,95,68,3.65,163,163,46,65,1476.1,1319,645,598,157,622,1333,0.24,1.31,21,NL,163,1467,13287.0,6208,4429,1675,104,155,84,40,0.677,12,46,0.983,0.7020000000000001,1.0
4,2018.0,5,Atlanta Braves,NL,162,5582,759,1433,314,29,175,717,511,1290,90,36,0.257,0.324,0.41700000000000004,0.742,29,NL,90,72,3.75,162,162,40,60,1456.2,1236,657,607,153,635,1423,0.22899999999999998,1.28,8,NL,162,1458,13110.0,5889,4370,1439,80,134,102,28,0.785,13,61,0.986,0.71,1.0
5,2018.0,6,Colorado Rockies,NL,163,5541,780,1418,280,42,210,748,507,1397,95,33,0.256,0.322,0.435,0.757,14,NL,91,72,4.33,163,163,51,78,1452.1,1377,745,699,184,525,1409,0.25,1.31,4,NL,163,1467,13071.0,6055,4357,1624,74,162,92,25,0.7859999999999999,11,70,0.988,0.69,0.0
6,2018.0,7,Houston Astros,AL,162,5453,797,1390,278,18,205,763,565,1197,71,26,0.255,0.32899999999999996,0.425,0.754,30,AL,103,59,3.11,162,162,46,67,1455.0,1164,534,503,152,435,1687,0.217,1.1,1,AL,162,1458,13095.0,5797,4365,1369,63,116,60,25,0.706,15,67,0.9890000000000001,0.7070000000000001,1.0
7,2018.0,8,Seattle Mariners,AL,162,5513,677,1402,256,32,176,644,430,1221,79,37,0.254,0.314,0.408,0.722,11,AL,89,73,4.13,162,162,60,81,1448.2,1396,711,664,195,400,1328,0.252,1.24,13,AL,162,1458,13038.0,5920,4346,1486,88,153,66,26,0.7170000000000001,13,57,0.985,0.691,0.0
8,2018.0,9,Washington Nationals,NL,162,5517,771,1402,284,25,191,737,631,1289,119,33,0.254,0.335,0.419,0.753,20,NL,82,80,4.04,162,162,40,54,1446.0,1320,682,649,198,487,1417,0.242,1.25,2,NL,162,1458,13014.0,5765,4338,1363,64,115,75,43,0.636,10,42,0.9890000000000001,0.703,0.0
9,2018.0,10,Cincinnati Reds,NL,162,5532,696,1404,251,25,172,665,559,1376,77,33,0.254,0.32799999999999996,0.401,0.7290000000000001,4,NL,67,95,4.63,162,162,38,57,1441.0,1491,819,741,228,532,1258,0.266,1.4,15,NL,162,1458,12969.0,6026,4323,1608,95,144,83,24,0.7759999999999999,6,48,0.9840000000000001,0.685,0.0
